,session,subject,parent_det_str,child_det_str,child_indef_def_adj_nps
11518,1,38,,a doodle,a doodle
61330,1,100,,the dog,the dog
68459,1,107,,a dink,a dink
79175,1,127,,a ball,a ball
8271,2,29,,the #,the #
14991,2,39,,the leg,the leg
21453,2,44,,a doodle,a doodle
21455,2,44,,a doodle,a doodle
21457,2,44,,a doodle,a doodle
21459,2,44,,a doodle,a doodle
21461,2,44,,a doodle,a doodle
21463,2,44,,a doodle,a doodle
21465,2,44,,a doodle,a doodle
32067,2,55,,a girl,a girl
40349,2,66,,the sky,the sky
54503,2,82,,the banana,the banana
54774,2,82,,the door,the door
54884,2,82,,a piece,a piece
64625,2,92,,the bus,the bus
68800,2,100,,the dog,the dog
73410,2,103,,the moon,the moon
93824,2,143,,the bandaid,the bandaid
100819,2,158,,the #,the #
101176,2,158,,a #,a #
101681,2,158,,the sock,the sock
101848,2,158,,a camel,a camel
102499,2,159,,the boat,the boat
182,3,22,,a airplane,a airplane
8184,3,29,,the pot,the pot
8185,3,29,,the pot,the pot
8453,3,29,,the baby,the baby
8473,3,29,,the baby,the baby
8475,3,29,,the baby,the baby
8476,3,29,,a bye,a bye
8485,3,29,,the baby,the baby
8486,3,29,,the baby,the baby
8487,3,29,,the baby,the baby
8489,3,29,,the baby,the baby
8615,3,29,,a #,a #
8670,3,29,,the car,the car
8671,3,29,,the car,the car
9223,3,29,,the teeth,the teeth
9289,3,29,,the back,the back
9442,3,29,,the monster,the monster
9443,3,29,,the monster,the monster
9481,3,29,,the back,the back
9482,3,29,,the back,the back
9588,3,29,,the baby,the baby
9595,3,29,,the bed,the bed
9596,3,29,,the bed,the bed
9597,3,29,,the bed,the bed
9598,3,29,,the bed,the bed
9826,3,29,,the back,the back
9828,3,29,,the back,the back
9831,3,29,,the back,the back
9832,3,29,,the back,the back
9834,3,29,,the back,the back
9976,3,29,,the back,the back
9977,3,29,,the baby,the baby
10249,3,29,,the baby,the baby
10250,3,29,,the baby,the baby
10253,3,29,,the baby,the baby
12824,3,35,,the bottle,the bottle
13041,3,35,,the baby,the baby
13277,3,35,,the pig,the pig
13667,3,35,,the cereal,the cereal
13938,3,35,,the bus,the bus
14016,3,35,,the water,the water
14059,3,35,,the water,the water
14206,3,35,,the garbage,the garbage
14259,3,35,,the house,the house
14390,3,35,,a hole,a hole
14437,3,35,,the tiger,the tiger
14554,3,35,,a hole,a hole
14560,3,35,,a hole,a hole
14561,3,35,,a hole,a hole
14619,3,35,,the stairs,the stairs
14644,3,35,,the animals,the animals
16416,3,38,,a hat,a hat
16455,3,38,,a baby,a baby
17015,3,38,,the house,the house
17629,3,39,,a pillow,a pillow
18220,3,39,,a hug,a hug
18361,3,39,,the car,the car
18747,3,39,,the #,the #
19005,3,39,,the chair,the chair
19012,3,39,,the chair,the chair
19070,3,39,,a cracker,a cracker
19243,3,39,,the stairs,the stairs
19266,3,39,,the door,the door
19343,3,39,,the car,the car
23447,3,43,,the angel,the angel
23448,3,43,,the angel,the angel
