,session,subject,parent_adj_nps,child_adj_nps,child_indef_def_adj_nps
130,4,22,,the fishies,the fishies
651,4,22,,a cave,a cave
1353,4,22,,a fire+man,a fire+man
1756,4,22,,a pillow,a pillow
1799,4,22,,a doggie,a doggie
1813,4,22,,a baby,a baby
2103,4,22,,a baby,a baby
2105,4,22,,a doggie,a doggie
2114,4,22,,a baby,a baby
2118,4,22,,a baby,a baby
2195,4,22,,a hat,a hat
2232,4,22,,a hat,a hat
2383,4,22,,a doggie,a doggie
2479,4,22,,the nose,the nose
2534,4,22,,a boy,a boy
2713,4,24,,a bird,a bird
2760,4,24,,the banana,the banana
2948,4,24,,a triangle,a triangle
2973,4,24,,the back,the back
2978,4,24,,the back,the back
2991,4,24,,a #,a #
2997,4,24,,a #,a #
3077,4,24,,a triangle,a triangle
3081,4,24,,a triangle,a triangle
3153,4,24,,the bear,the bear
3160,4,24,,a bear,a bear
3176,4,24,,the bear,the bear
3455,4,24,,a cookie,a cookie
3569,4,24,,the pizza,the pizza
3618,4,24,,the head,the head
3829,4,24,,a triangle,a triangle
3953,4,25,,a nose,a nose
5366,4,25,,a piece,a piece
5368,4,25,,a piece,a piece
5937,4,27,,a bee,a bee
5956,4,27,,the moon,the moon
7380,4,27,,a baby,a baby
7426,4,27,,a bear,a bear
7763,4,27,,a #,a #
8081,4,27,,a #,a #
10522,4,29,,the boat,the boat
10537,4,29,,the man,the man
10538,4,29,,the man,the man
10732,4,29,,the baby,the baby
10734,4,29,,the zip,the zip
10770,4,29,,a brush,a brush
10771,4,29,,the rattle,the rattle
10794,4,29,,the baby,the baby
10795,4,29,,the baby,the baby
10799,4,29,,the baby,the baby
10802,4,29,,the baby,the baby
10817,4,29,,the baby,the baby
10825,4,29,,the blanket,the blanket
10832,4,29,,a diaper,a diaper
10834,4,29,,the bag,the bag
10849,4,29,,a bath,a bath
10898,4,29,,the bed,the bed
10919,4,29,,the baby,the baby
10924,4,29,,the leg,the leg
10925,4,29,,the leg,the leg
10938,4,29,,the arms,the arms
10963,4,29,,the one,the one
10964,4,29,,the one,the one
11017,4,29,,the moon,the moon
11018,4,29,,the moon,the moon
11030,4,29,,a mustache,a mustache
11033,4,29,,a bird,a bird
11044,4,29,,the boat,the boat
11071,4,29,,the bear,the bear
11073,4,29,,the lion,the lion
11080,4,29,,a lion,a lion
11090,4,29,,the elephant,the elephant
11109,4,29,,the boat,the boat
11120,4,29,,the bird,the bird
11121,4,29,,the bird,the bird
11393,4,29,,the drawer,the drawer
11461,4,29,,the door,the door
11470,4,29,,the bird,the bird
11471,4,29,,a bird,a bird
11491,4,29,,a bike,a bike
11492,4,29,,a bike,a bike
11517,4,29,,the bowl,the bowl
11572,4,29,,the airplane,the airplane
11608,4,29,,the egg,the egg
11633,4,29,,the frog,the frog
11634,4,29,,the #,the #
11639,4,29,,the egg,the egg
11641,4,29,,the egg,the egg
11656,4,29,,the sand,the sand
11657,4,29,,the sand,the sand
11678,4,29,,a fish,a fish
11685,4,29,,a shark,a shark
11705,4,29,,a castle,a castle
11714,4,29,,the sand,the sand
11730,4,29,,the turtle,the turtle
11733,4,29,,the lobster,the lobster
11742,4,29,,the one,the one
11743,4,29,,the one,the one
11746,4,29,,a hat,a hat
11747,4,29,,a hat,a hat
11763,4,29,,the whale,the whale
11777,4,29,,a blue,a blue
11781,4,29,,a turtle,a turtle
11784,4,29,,the lobster,the lobster
11785,4,29,,the lobster,the lobster
11787,4,29,,the lobster,the lobster
11788,4,29,,the whale,the whale
11791,4,29,,the turtle,the turtle
11835,4,29,,a mushroom,a mushroom
11907,4,29,,the shovel,the shovel
11908,4,29,,the shovel,the shovel
11910,4,29,,a blue,a blue
11926,4,29,,the bird,the bird
11929,4,29,,a pie,a pie
13468,4,33,,the bear,the bear
13535,4,33,,a bug,a bug
13537,4,33,,a bug,a bug
13547,4,33,,a balloon,a balloon
13662,4,33,,a door,a door
13686,4,33,,the garbage,the garbage
13705,4,33,,the garbage,the garbage
13950,4,33,,the couch,the couch
13965,4,33,,the milk,the milk
13970,4,33,,the baby,the baby
13975,4,33,,the baby,the baby
14076,4,33,,the couch,the couch
14077,4,33,,the couch,the couch
14306,4,33,,a bug,a bug
14307,4,33,,a bug,a bug
14308,4,33,,a bug,a bug
14373,4,33,,a vacuum,a vacuum
14466,4,33,,the door,the door
14507,4,33,,a tooth+paste,a tooth+paste
14573,4,33,,the water,the water
14575,4,33,,the water,the water
14680,4,33,,a belt,a belt
14806,4,35,,a #,a #
14921,4,35,,a pan,a pan
15027,4,35,,the knife,the knife
15029,4,35,,the peanutbutter,the peanutbutter
15062,4,35,,the knife,the knife
15074,4,35,,the knife,the knife
15083,4,35,,a knife,a knife
15134,4,35,,the knife,the knife
15181,4,35,,a mess,a mess
15242,4,35,,a hotdog,a hotdog
15243,4,35,,the hotdog,the hotdog
15253,4,35,,the water,the water
15280,4,35,,the top,the top
15282,4,35,,the top,the top
15292,4,35,,the corn,the corn
15293,4,35,,the corn,the corn
15353,4,35,,the dog,the dog
15579,4,35,,a knife,a knife
15638,4,35,,a plum,a plum
15779,4,35,,the dog,the dog
15789,4,35,,a seed,a seed
15792,4,35,,the seeds,the seeds
15844,4,35,,the toy,the toy
15942,4,35,,the cup,the cup
15946,4,35,,the cup,the cup
16331,4,35,,the baby,the baby
16352,4,35,,a monkey,a monkey
16365,4,35,,a blue,a blue
16551,4,35,,a blanket,a blanket
16671,4,35,,a necklace,a necklace
16674,4,35,,the necklace,the necklace
16840,4,35,,a mess,a mess
16841,4,35,,the pieces,the pieces
16861,4,35,,a baby,a baby
16865,4,35,,a boy,a boy
16970,4,37,,the toys,the toys
16999,4,37,,the door,the door
17121,4,37,,a bed,a bed
17160,4,37,,a toy,a toy
17219,4,37,,a ones,a ones
17220,4,37,,a ones,a ones
17221,4,37,,a ones,a ones
17222,4,37,,a ones,a ones
17223,4,37,,a ones,a ones
17224,4,37,,a ones,a ones
17233,4,37,,a teacher,a teacher
17383,4,37,,a ballerina,a ballerina
17518,4,37,,a thing,a thing
17519,4,37,,a thing,a thing
17520,4,37,,a thing,a thing
17521,4,37,,the table,the table
17522,4,37,,the table,the table
17566,4,37,,a pickles,a pickles
17641,4,37,,a berry,a berry
17642,4,37,,a berry,a berry
17643,4,37,,a berry,a berry
17673,4,37,,a shoe,a shoe
17697,4,37,,a room,a room
17698,4,37,,a room,a room
17740,4,37,,a scissors,a scissors
17791,4,37,,a red,a red
17799,4,37,,a scissors,a scissors
17800,4,37,,a teacher,a teacher
17801,4,37,,a blue,a blue
17832,4,37,,the shoes,the shoes
18076,4,38,,the chicken,the chicken
18082,4,38,,a baby,a baby
18140,4,38,,a cup,a cup
18151,4,38,,a head,a head
18176,4,38,,the bed,the bed
18189,4,38,,a swings,a swings
18299,4,38,,a ghost,a ghost
18357,4,38,,the ghost,the ghost
18362,4,38,,a ghost,a ghost
18549,4,38,,the ghost,the ghost
18608,4,38,,a daddy,a daddy
18696,4,38,,a plug,a plug
18736,4,38,,a bath,a bath
18740,4,38,,a butt,a butt
18776,4,38,,a shirt,a shirt
18799,4,38,,a daddy,a daddy
18821,4,38,,a help,a help
18852,4,38,,a book,a book
18925,4,38,,a books,a books
18927,4,38,,a bag,a bag
18928,4,38,,a bag,a bag
18929,4,38,,a bag,a bag
19078,4,38,,a bear,a bear
19079,4,38,,the cat,the cat
19147,4,38,,the vitamins,the vitamins
19221,4,38,,the tv,the tv
19259,4,38,,a pant,a pant
19263,4,38,,the cold,the cold
19281,4,38,,a kitty,a kitty
19283,4,38,,a kitty,a kitty
19284,4,38,,a kitty,a kitty
19302,4,38,,a baby,a baby
19303,4,38,,a drink,a drink
19309,4,38,,a horsie,a horsie
19523,4,39,,a popsicle,a popsicle
19525,4,39,,a popsicle,a popsicle
19528,4,39,,a #,a #
19554,4,39,,the cracker,the cracker
19587,4,39,,the cracker,the cracker
19589,4,39,,the one,the one
19690,4,39,,the juice,the juice
19691,4,39,,the juice,the juice
19694,4,39,,the juice,the juice
19730,4,39,,the door,the door
19832,4,39,,the house,the house
19858,4,39,,the stream,the stream
19859,4,39,,the stream,the stream
19860,4,39,,the stream,the stream
19861,4,39,,the stream,the stream
19926,4,39,,the hug,the hug
19943,4,39,,the train,the train
19944,4,39,,the train,the train
19947,4,39,,a train,a train
19948,4,39,,a train,a train
19953,4,39,,a train,a train
19954,4,39,,a train,a train
19955,4,39,,a train,a train
19956,4,39,,the train,the train
19957,4,39,,the train,the train
19963,4,39,,the train,the train
19972,4,39,,the train,the train
19996,4,39,,the water,the water
19998,4,39,,the water,the water
20001,4,39,,the water,the water
20119,4,39,,the train,the train
20140,4,39,,a cracker,a cracker
20162,4,39,,a boy,a boy
20170,4,39,,a train,a train
20276,4,39,,the water,the water
20281,4,39,,the #,the #
20288,4,39,,the food,the food
20289,4,39,,the food,the food
20291,4,39,,the food,the food
20292,4,39,,the food,the food
20307,4,39,,the bag,the bag
20308,4,39,,the bag,the bag
20310,4,39,,the bag,the bag
20311,4,39,,the lady,the lady
20328,4,39,,the shoe,the shoe
20330,4,39,,the shoe,the shoe
20406,4,39,,the straw,the straw
20436,4,39,,the potty,the potty
20547,4,39,,the train,the train
20550,4,39,,the train,the train
20559,4,39,,the lady,the lady
20572,4,39,,the #,the #
20575,4,39,,a truck,a truck
20588,4,39,,a grape,a grape
20590,4,39,,the milk,the milk
20742,4,39,,a Choo_Choo,a Choo_Choo
20777,4,39,,a baby,a baby
20779,4,39,,a baby,a baby
20785,4,39,,a baby,a baby
20806,4,39,,the chair,the chair
20825,4,39,,a one,a one
20862,4,39,,a bottle,a bottle
20864,4,39,,a baby,a baby
20866,4,39,,a baby,a baby
20876,4,39,,a baby,a baby
20889,4,39,,the baby,the baby
20902,4,39,,the cup,the cup
20911,4,39,,the purple,the purple
20922,4,39,,a baby,a baby
20923,4,39,,the baby,the baby
20924,4,39,,a baby,a baby
20939,4,39,,a bottle,a bottle
21013,4,39,,the bunny,the bunny
21017,4,39,,the bunny,the bunny
21151,4,40,,a birdie,a birdie
21162,4,40,,a fish,a fish
21188,4,40,,the fruit,the fruit
21258,4,40,,the bunny,the bunny
21260,4,40,,the bunny,the bunny
21265,4,40,,the bunny,the bunny
21510,4,40,,a #,a #
21845,4,40,,the scissors,the scissors
21889,4,40,,a #,a #
21915,4,40,,a man,a man
21987,4,40,,a airplane,a airplane
22003,4,40,,a bow,a bow
22007,4,40,,a shoe,a shoe
22328,4,40,,a roll,a roll
22452,4,40,,a sucker,a sucker
22463,4,40,,a ninny,a ninny
22469,4,40,,a ninny,a ninny
22479,4,40,,a ninny,a ninny
22603,4,40,,the floor,the floor
22617,4,40,,the floor,the floor
22749,4,40,,a #,a #
22784,4,40,,the eyebrows,the eyebrows
23322,4,40,,a birdie,a birdie
23510,4,40,,a sucker,a sucker
23573,4,40,,a ninny,a ninny
23728,4,42,,a read,a read
23837,4,42,,a bird,a bird
24201,4,42,,a read,a read
24480,4,42,,a bee,a bee
25850,4,42,,a train,a train
26280,4,43,,the ice,the ice
26282,4,43,,the cone,the cone
26326,4,43,,the mystery,the mystery
26365,4,43,,the dressing,the dressing
26377,4,43,,the balls,the balls
26422,4,43,,a cat,a cat
26424,4,43,,the cat,the cat
26435,4,43,,the penguin,the penguin
26442,4,43,,the bird,the bird
26484,4,43,,the bird,the bird
26494,4,43,,a birdie,a birdie
26496,4,43,,the birdie,the birdie
26498,4,43,,the arrow,the arrow
26500,4,43,,the arrow,the arrow
26509,4,43,,the arrow,the arrow
26612,4,43,,a #,a #
26806,4,43,,the shed,the shed
26808,4,43,,the shed,the shed
26817,4,43,,a rest,a rest
26818,4,43,,a rest,a rest
26856,4,43,,the piece,the piece
26857,4,43,,the #,the #
26902,4,43,,the bus,the bus
26930,4,43,,the foot,the foot
26932,4,43,,the track,the track
26940,4,43,,a ride,a ride
26943,4,43,,a ride,a ride
26973,4,43,,a mommy,a mommy
26977,4,43,,a go,a go
27019,4,43,,a block,a block
27023,4,43,,the blocks,the blocks
27042,4,43,,the train,the train
27044,4,43,,the train,the train
27045,4,43,,the train,the train
27053,4,43,,a train,a train
27060,4,43,,the track,the track
27063,4,43,,a stop,a stop
27064,4,43,,a stop,a stop
27067,4,43,,the go,the go
27071,4,43,,a blue,a blue
27074,4,43,,the track,the track
27075,4,43,,a track,a track
27076,4,43,,the paints,the paints
27077,4,43,,the paints,the paints
27078,4,43,,the paints,the paints
27106,4,43,,a cocoon,a cocoon
27110,4,43,,a red,a red
27147,4,43,,the paints,the paints
27167,4,43,,a purple,a purple
27192,4,43,,the branch,the branch
27274,4,43,,a blue,a blue
27285,4,43,,a cocoon,a cocoon
27291,4,43,,a chrysalis,a chrysalis
27325,4,43,,the chair,the chair
27342,4,43,,a train,a train
27353,4,43,,a fire,a fire
27356,4,43,,the fire,the fire
27373,4,43,,the track,the track
27385,4,43,,the car,the car
27386,4,43,,the track,the track
27387,4,43,,a #,a #
