,session,subject,parent_det_str,child_det_str,parent_indef_def_adj_nps
58,1,22,a piece,,a piece
61,1,22,a baby,,a baby
94,1,22,the toys,,the toys
169,1,22,a bottle,,a bottle
170,1,22,a bottle,,a bottle
188,1,22,the bottle,,the bottle
190,1,22,the bottle,,the bottle
192,1,22,the bottle,,the bottle
225,1,22,the house,,the house
250,1,22,a weapon,,a weapon
257,1,22,the button,,the button
258,1,22,the butterfly,,the butterfly
259,1,22,the butterfly,,the butterfly
260,1,22,a butterfly,,a butterfly
266,1,22,a connection,,a connection
269,1,22,a heart-,,a heart-
274,1,22,a butterfly,,a butterfly
279,1,22,the morning,,the morning
281,1,22,the age,,the age
311,1,22,the one,,the one
315,1,22,the room,,the room
354,1,22,the car,,the car
355,1,22,the ground,,the ground
360,1,22,a baby,,a baby
361,1,22,the baby,,the baby
362,1,22,the baby,,the baby
393,1,22,the stands,,the stands
410,1,22,the rings,,the rings
411,1,22,the rings,,the rings
418,1,22,a noise,,a noise
424,1,22,the one,,the one
425,1,22,the one,,the one
446,1,22,a camera,,a camera
457,1,22,a morning,,a morning
458,1,22,a morning,,a morning
474,1,22,the cat,,the cat
475,1,22,the bird,,the bird
485,1,22,a turtle,,a turtle
489,1,22,a ladybug,,a ladybug
518,1,22,the ladybug,,the ladybug
523,1,22,a question,,a question
529,1,22,the toy,,the toy
532,1,22,the toy,,the toy
582,1,22,the den,,the den
583,1,22,the gate,,the gate
584,1,22,the gate,,the gate
605,1,22,the den,,the den
607,1,22,the den,,the den
617,1,22,the dice,,the dice
659,1,22,the teddy,,the teddy
660,1,22,the teddy,,the teddy
666,1,22,the letters,,the letters
667,1,22,the letters,,the letters
668,1,22,the Z.,,the Z.
691,1,22,the living,,the living
695,1,22,the music,,the music
697,1,22,the keys,,the keys
704,1,22,a baby,,a baby
712,1,22,the noise,,the noise
727,1,22,a train,,a train
738,1,22,a doggie,,a doggie
742,1,22,the train,,the train
745,1,22,the dice,,the dice
752,1,22,the thing,,the thing
756,1,22,the steps,,the steps
765,1,22,the music,,the music
774,1,22,the bucket,,the bucket
787,1,22,the video,,the video
788,1,22,the colors,,the colors
808,1,22,the balls,,the balls
809,1,22,the toy,,the toy
810,1,22,a company,,a company
811,1,22,a castle,,a castle
817,1,22,the balls,,the balls
833,1,22,the video,,the video
853,1,22,the cow,,the cow
862,1,22,a kitty,,a kitty
872,1,22,the music,,the music
875,1,22,the box,,the box
881,1,22,a butterfly,,a butterfly
887,1,22,the helicopter,,the helicopter
891,1,22,the music,,the music
938,1,22,the bathroom,,the bathroom
942,1,22,the bathroom,,the bathroom
956,1,22,a kid,,a kid
979,1,22,the TV,,the TV
986,1,22,a dolphin,,a dolphin
989,1,22,a show,,a show
990,1,22,a water,,a water
997,1,22,the dolphin,,the dolphin
1002,1,22,the puppet,,the puppet
1010,1,22,the frog,,the frog
1021,1,22,a puppet,,a puppet
1059,1,22,the fishies,,the fishies
1060,1,22,the cow,,the cow
1067,1,22,the metronome,,the metronome
1110,1,22,a way,,a way
1114,1,22,the bathroom,,the bathroom
1115,1,22,the bathroom,,the bathroom
1126,1,22,the stairs,,the stairs
1128,1,22,the way,,the way
1142,1,22,the den,,the den
1155,1,22,the den,,the den
1171,1,22,a minutes,,a minutes
1181,1,22,a doggie,,a doggie
1204,1,22,the house,,the house
1261,1,24,a square,,a square
1266,1,24,the top,,the top
1288,1,24,the baby,,the baby
1295,1,24,the time,,the time
1314,1,24,the baby,,the baby
1317,1,24,the baby,,the baby
1318,1,24,the baby,,the baby
1335,1,24,the dog,,the dog
1338,1,24,the baby,,the baby
1362,1,24,the world,,the world
1363,1,24,a diamond,,a diamond
1372,1,24,a gorilla,,a gorilla
1376,1,24,a drink,,a drink
1377,1,24,a drink,,a drink
1378,1,24,a drink,,a drink
1385,1,24,a baby,,a baby
1400,1,24,the baby,,the baby
1407,1,24,a drink,,a drink
1409,1,24,a drink,,a drink
1410,1,24,a drink,,a drink
1434,1,24,a hippo,,a hippo
1436,1,24,the seal,,the seal
1439,1,24,the elephant,,the elephant
1444,1,24,the baby,,the baby
1450,1,24,the babies,,the babies
1466,1,24,the baby,,the baby
1469,1,24,the babies,,the babies
1484,1,24,a gorilla,,a gorilla
1509,1,24,the cat,,the cat
1510,1,24,the car,,the car
1513,1,24,the gorilla,,the gorilla
1614,1,24,a mess,,a mess
1624,1,24,the pieces,,the pieces
1647,1,24,the soup,,the soup
1656,1,24,the bread,,the bread
1741,1,24,a soup,,a soup
1752,1,24,the button,,the button
1753,1,24,the button,,the button
1754,1,24,the button,,the button
1759,1,24,the noise,,the noise
1765,1,24,the book,,the book
1781,1,24,the pages,,the pages
1784,1,24,a lion,,a lion
1787,1,24,a hippo,,a hippo
1790,1,24,a flamingo,,a flamingo
1795,1,24,a zebra,,a zebra
1796,1,24,the zebra,,the zebra
1805,1,24,the elephant,,the elephant
1808,1,24,a leopard,,a leopard
1812,1,24,a peacock,,a peacock
1818,1,24,a walrus,,a walrus
1821,1,24,a zoo,,a zoo
1827,1,24,a bear,,a bear
1828,1,24,a lion,,a lion
1829,1,24,a hippo,,a hippo
1830,1,24,a flamingo,,a flamingo
1831,1,24,a zebra,,a zebra
1832,1,24,a boa,,a boa
1834,1,24,a leopard,,a leopard
1835,1,24,a peacock,,a peacock
1836,1,24,a walrus,,a walrus
1852,1,24,a lifeguard,,a lifeguard
1855,1,24,a farmer,,a farmer
1856,1,24,a chef,,a chef
1857,1,24,the dough,,the dough
1858,1,24,the chef,,the chef
1859,1,24,a grown,,a grown
1860,1,24,a magician,,a magician
1862,1,24,a firefighter,,a firefighter
1864,1,24,a baseball,,a baseball
1865,1,24,a homerun,,a homerun
1866,1,24,the boy,,the boy
1867,1,24,a baseball,,a baseball
1872,1,24,a plumber,,a plumber
1874,1,24,a construction,,a construction
1875,1,24,a hat,,a hat
1880,1,24,a diver,,a diver
1881,1,24,a wish,,a wish
1898,1,24,the X,,the X
1899,1,24,the video,,the video
1921,1,24,a farm,,a farm
1931,1,24,a lifeguard,,a lifeguard
1932,1,24,a whistle,,a whistle
1934,1,24,a farmer,,a farmer
1936,1,24,a chef,,a chef
1937,1,24,the dough,,the dough
1938,1,24,a grown,,a grown
1941,1,24,a magician,,a magician
1959,1,24,a circle,,a circle
1968,1,24,the heart,,the heart
1980,1,24,the men,,the men
1991,1,24,the rest,,the rest
2042,1,24,the one,,the one
2058,1,24,the place,,the place
2059,1,24,a place,,a place
2065,1,24,the place,,the place
2071,1,24,the star,,the star
2072,1,24,the star,,the star
2080,1,24,a ball,,a ball
2081,1,24,the ball,,the ball
2092,1,24,the box,,the box
2107,1,24,the trick,,the trick
2109,1,24,a dollar,,a dollar
2142,1,24,a bear,,a bear
2149,1,24,the puzzle,,the puzzle
2150,1,24,a puzzle,,a puzzle
2172,1,24,a bear,,a bear
2174,1,24,a ballet,,a ballet
2237,1,24,a bear,,a bear
2243,1,24,a mouse,,a mouse
2244,1,24,a piece,,a piece
2245,1,24,the mouse,,the mouse
2246,1,24,the mouse,,the mouse
2250,1,24,the mouse,,the mouse
2281,1,24,the bear,,the bear
2282,1,24,a face,,a face
2304,1,24,the toy,,the toy
2326,1,24,the one,,the one
2350,1,24,the square,,the square
2358,1,24,the one,,the one
2362,1,24,the square,,the square
2363,1,24,the top,,the top
2366,1,24,the heart,,the heart
2367,1,24,the heart,,the heart
2368,1,24,the top,,the top
2379,1,24,a tower,,a tower
2442,1,24,a bear,,a bear
2446,1,24,a box,,a box
2465,1,24,the box,,the box
2467,1,24,a bear,,a bear
2468,1,24,the bear-,,the bear-
2474,1,24,the bear,,the bear
2492,1,24,the square,,the square
2537,1,24,the square,,the square
2555,1,24,the bear,,the bear
2559,1,24,the toy,,the toy
2566,1,24,the button,,the button
2572,1,24,the phone,,the phone
2590,1,24,the phone,,the phone
2592,1,24,the phone,,the phone
2601,1,24,a second,,a second
2611,1,24,the book,,the book
2616,1,24,the light,,the light
2617,1,24,a egg,,a egg
2620,1,24,the sun,,the sun
2623,1,24,the egg,,the egg
2639,1,24,a house,,a house
2646,1,24,a house,,a house
2681,1,24,a ride,,a ride
2704,1,24,the pocket,,the pocket
2716,1,24,the puzzle,,the puzzle
2718,1,24,the puzzle,,the puzzle
2720,1,24,the bears,,the bears
2722,1,24,a face,,a face
2732,1,24,a cookie,,a cookie
2753,1,24,the outfit,,the outfit
2757,1,24,the shoes,,the shoes
2769,1,24,the bear,,the bear
2772,1,24,the shoes,,the shoes
2773,1,24,the dress,,the dress
2786,1,24,a bear,,a bear
2797,1,24,a mouse,,a mouse
2805,1,24,the mouse,,the mouse
2806,1,24,the cheese,,the cheese
2807,1,24,the cheese,,the cheese
2808,1,24,the mouse,,the mouse
2811,1,24,the mouse,,the mouse
2828,1,24,the mouse,,the mouse
2829,1,24,the mouse,,the mouse
2837,1,24,the mouse,,the mouse
2854,1,24,the buttons,,the buttons
2861,1,24,the book,,the book
2880,1,24,a cookie,,a cookie
2885,1,24,the forest,,the forest
2886,1,24,a hole,,a hole
2902,1,24,the mouse,,the mouse
2905,1,24,the mouse,,the mouse
2907,1,24,the mouse,,the mouse
2908,1,24,the cheese,,the cheese
2911,1,24,the mouse,,the mouse
2913,1,24,the mouse,,the mouse
2916,1,24,the mouse,,the mouse
2917,1,24,the mouse,,the mouse
2926,1,25,the #,,the #
2939,1,25,the blocks,,the blocks
2968,1,25,the hat,,the hat
2989,1,25,the tracks,,the tracks
3004,1,25,a ghost,,a ghost
3039,1,25,a crocodile,,a crocodile
3041,1,25,the water,,the water
3042,1,25,the water,,the water
3043,1,25,the swamps,,the swamps
3048,1,25,the Z.,,the Z.
3057,1,25,the alligators,,the alligators
3084,1,25,the giraffe,,the giraffe
3085,1,25,the giraffe,,the giraffe
3098,1,25,the alphabet,,the alphabet
3099,1,25,a puzzle,,a puzzle
3100,1,25,a job,,a job
3103,1,25,the bear,,the bear
3105,1,25,a neck,,a neck
3116,1,25,the T,,the T
3130,1,25,a U.,,a U.
3137,1,25,the bear,,the bear
3138,1,25,a bear,,a bear
3145,1,25,a lot,,a lot
3146,1,25,a lot,,a lot
3153,1,25,the track,,the track
3175,1,25,the one,,the one
3178,1,25,a cup,,a cup
3180,1,25,the tracks,,the tracks
3183,1,25,the tracks,,the tracks
3185,1,25,a piggy,,a piggy
3209,1,25,a banana,,a banana
3210,1,25,a banana,,a banana
3211,1,25,a banana,,a banana
3212,1,25,the banana,,the banana
3230,1,25,a banana,,a banana
3231,1,25,a banana,,a banana
3235,1,25,the tracks,,the tracks
3247,1,25,a time,,a time
3251,1,25,a minute,,a minute
3252,1,25,a game,,a game
3263,1,25,a while,,a while
3270,1,25,a boy,,a boy
3294,1,25,the tracks,,the tracks
3321,1,25,the kitchen,,the kitchen
3380,1,25,the stairs,,the stairs
3401,1,25,the boy,,the boy
3403,1,25,a teething,,a teething
3409,1,25,a giraffe,,a giraffe
3410,1,25,the jungle,,the jungle
3432,1,25,the head,,the head
3433,1,25,the head,,the head
3435,1,25,a bat,,a bat
3444,1,25,the music,,the music
3448,1,25,the tracks,,the tracks
3455,1,25,the tracks,,the tracks
3482,1,25,the zebra,,the zebra
3483,1,25,the giraffe,,the giraffe
3484,1,25,the giraffe,,the giraffe
3510,1,25,the ball,,the ball
3515,1,25,the door,,the door
3517,1,25,the door,,the door
3522,1,25,a track,,a track
3531,1,25,the pieces,,the pieces
3532,1,25,the bridge,,the bridge
3533,1,25,the bridge,,the bridge
3534,1,25,the bridge,,the bridge
3538,1,25,the idea,,the idea
3542,1,25,the bridge,,the bridge
3545,1,25,a minutes,,a minutes
3551,1,25,the car,,the car
3555,1,25,the alligator,,the alligator
3557,1,25,the car,,the car
3558,1,25,the track,,the track
3559,1,25,the car,,the car
3560,1,25,the car,,the car
3561,1,25,the track,,the track
3563,1,25,the alligator,,the alligator
3565,1,25,the air,,the air
3571,1,25,the alligator,,the alligator
3576,1,25,the Pooh,,the Pooh
3640,1,27,the bank,,the bank
3641,1,27,a time,,a time
3643,1,27,the hole,,the hole
3644,1,27,the hole,,the hole
3645,1,27,the penny,,the penny
3652,1,27,the bank,,the bank
3657,1,27,the hole,,the hole
3659,1,27,the hole,,the hole
3661,1,27,a job,,a job
3663,1,27,the hole,,the hole
3684,1,27,the corner,,the corner
3698,1,27,the living,,the living
3703,1,27,a job,,a job
3719,1,27,a boy,,a boy
3720,1,27,the seahorse,,the seahorse
3721,1,27,the seahorse,,the seahorse
3732,1,27,the seahorse,,the seahorse
3739,1,27,the whale,,the whale
3740,1,27,the whale,,the whale
3741,1,27,the whale,,the whale
3743,1,27,the whale,,the whale
3745,1,27,the mirror,,the mirror
3751,1,27,the seahorse,,the seahorse
3762,1,27,a rainbow,,a rainbow
3764,1,27,the mirror,,the mirror
3766,1,27,the turtle,,the turtle
3792,1,27,the book,,the book
3799,1,27,a bath,,a bath
3805,1,27,the bed,,the bed
3807,1,27,the doctor,,the doctor
3819,1,27,the book,,the book
3830,1,27,a pig,,a pig
3836,1,27,the pig,,the pig
3837,1,27,the pig,,the pig
3839,1,27,the cow,,the cow
3843,1,27,the pig,,the pig
3847,1,27,the farm,,the farm
3854,1,27,a kitty,,a kitty
3855,1,27,the tree,,the tree
3866,1,27,the bag,,the bag
3870,1,27,a feather,,a feather
3871,1,27,a birdie,,a birdie
3872,1,27,a feather,,a feather
3881,1,27,the paper,,the paper
3882,1,27,the box,,the box
3887,1,27,the box,,the box
3907,1,27,the paper,,the paper
3908,1,27,the paper,,the paper
3921,1,27,the fridge,,the fridge
3943,1,27,a treat,,a treat
3944,1,27,a treat,,a treat
3975,1,27,the floor,,the floor
4012,1,27,the ones,,the ones
4016,1,27,the balls,,the balls
4021,1,27,the putter,,the putter
4022,1,27,the putter,,the putter
4023,1,27,the ball,,the ball
4024,1,27,the ball,,the ball
4027,1,27,the ball,,the ball
4028,1,27,the club,,the club
4034,1,27,the ball,,the ball
